"Node_Id:ID(Node)",":LABEL","name","tokens","documentation","Project"
"0","Project","AndResGuard","AndResGuard","None"
"1843","Field","outputFile","None","None"
"1844","Field","decoder","None","None"
"1845","Field","apkFile","None","None"
"1846","Method","buildApk","private void buildApk(
      ApkDecoder decoder, File apkFile, File outputFile, InputParam.SignatureType signatureType, int minSDKVersion)
      throws Exception {
    ResourceApkBuilder builder = new ResourceApkBuilder(config);
    String apkBasename = apkFile.getName();
    apkBasename = apkBasename.substring(0, apkBasename.indexOf("".apk""));
    builder.setOutDir(mOutDir, apkBasename, outputFile);
    System.out.printf(""[AndResGuard] buildApk signatureType: %s\n"", signatureType);
    switch (signatureType) {
      case SchemaV1:
        builder.buildApkWithV1sign(decoder.getCompressData());
        break;
      case SchemaV2:
      case SchemaV3:
        builder.buildApkWithV2V3Sign(decoder.getCompressData(), minSDKVersion, signatureType);
        break;
    }
  }","None"
"1847","Field","decoder","None","None"
"1848","Field","apkFile","None","None"
"1849","Field","outputFile","None","None"
"1850","Field","signatureType","None","None"
"1851","Field","minSDKVersion","None","None"
"1852","Field","builder","None","None"
"1853","Field","apkBasename","None","None"
"1854","Method","goToError","protected void goToError() {
    System.exit(ERRNO_USAGE);
  }","None"
"1855","Package","com.tencent.mm.androlib","com.tencent.mm.androlib","None"
"1856","Class","ApkDecoder","ApkDecoder","None"
"1857","Field","mRawResourceFiles","None","None"
"1858","Field","config","None","None"
"1859","Field","apkFile","None","None"
"1860","Field","mOutDir","None","None"
"1861","Field","mOutTempARSCFile","None","None"
"1862","Field","mOutARSCFile","None","None"
"1863","Field","mOutResFile","None","None"
"1864","Field","mRawResFile","None","None"
"1865","Field","mOutTempDir","None","None"
"1866","Field","mResMappingFile","None","None"
"1867","Field","mMergeDuplicatedResMappingFile","None","None"
"1868","Field","mCompressData","None","None"
"1869","Field","config","None","None"
"1870","Field","apkFile","None","None"
"1871","Field","resPath","None","None"
"1872","Field","destPath","None","None"
"1873","Field","relativePath","None","None"
"1874","Field","dest","None","None"
"1875","Field","key","None","None"
"1876","Field","unZipDest","None","None"
"1877","Field","basename","None","None"
"1878","Field","patterns","None","None"
"1879","Field","name","None","None"
"1880","Field","p","None","None"
"1881","Field","outDir","None","None"
"1882","Field","pkgs","None","None"
"1883","Field","file","None","None"
"1884","Field","attrs","None","None"
"1885","Method","copyOtherResFiles","private void copyOtherResFiles() throws IOException {
    if (mRawResourceFiles.isEmpty()) {
      return;
    }
    Path resPath = mRawResFile.toPath();
    Path destPath = mOutResFile.toPath();

    for (Path path : mRawResourceFiles) {
      Path relativePath = resPath.relativize(path);
      Path dest = destPath.resolve(relativePath);

      System.out.printf(""copy res file not in resources.arsc file:%s\n"", relativePath.toString());
      FileOperation.copyFileUsingStream(path.toFile(), dest.toFile());
    }
  }","None"
"1886","Field","resPath","None","None"
"1887","Field","destPath","None","None"
"1888","Field","relativePath","None","None"
"1889","Field","dest","None","None"
"1890","Method","removeCopiedResFile","public void removeCopiedResFile(Path key) {
    mRawResourceFiles.remove(key);
  }","None"
"1891","Field","key","None","None"
"1892","Method","getConfig","public Configuration getConfig() {
    return config;
  }","None"
"1893","Method","hasResources","public boolean hasResources() throws AndrolibException {
    try {
      return apkFile.getDirectory().containsFile(""resources.arsc"");
    } catch (DirectoryException ex) {
      throw new AndrolibException(ex);
    }
  }","None"
"1894","Method","ensureFilePath","private void ensureFilePath() throws IOException {
    Utils.cleanDir(mOutDir);

    String unZipDest = new File(mOutDir, TypedValue.UNZIP_FILE_PATH).getAbsolutePath();
    System.out.printf(""unziping apk to %s\n"", unZipDest);
    mCompressData = FileOperation.unZipAPk(apkFile.getAbsoluteFile().getAbsolutePath(), unZipDest);
    dealWithCompressConfig();
    //将res混淆成r
    if (!config.mKeepRoot) {
      mOutResFile = new File(mOutDir.getAbsolutePath() + File.separator + TypedValue.RES_FILE_PATH);
    } else {
      mOutResFile = new File(mOutDir.getAbsolutePath() + File.separator + ""res"");
    }

    //这个需要混淆各个文件夹
    mRawResFile = new File(mOutDir.getAbsoluteFile().getAbsolutePath()
                           + File.separator
                           + TypedValue.UNZIP_FILE_PATH
                           + File.separator
                           + ""res"");
    mOutTempDir = new File(mOutDir.getAbsoluteFile().getAbsolutePath() + File.separator + TypedValue.UNZIP_FILE_PATH);

    //这里纪录原始res目录的文件
    Files.walkFileTree(mRawResFile.toPath(), new ResourceFilesVisitor());

    if (!mRawResFile.exists() || !mRawResFile.isDirectory()) {
      throw new IOException(""can not found res dir in the apk or it is not a dir"");
    }

    mOutTempARSCFile = new File(mOutDir.getAbsoluteFile().getAbsolutePath() + File.separator + ""resources_temp.arsc"");
    mOutARSCFile = new File(mOutDir.getAbsoluteFile().getAbsolutePath() + File.separator + ""resources.arsc"");

    String basename = apkFile.getName().substring(0, apkFile.getName().indexOf("".apk""));
    mResMappingFile = new File(mOutDir.getAbsoluteFile().getAbsolutePath()
                               + File.separator
                               + TypedValue.RES_MAPPING_FILE
                               + basename
                               + TypedValue.TXT_FILE);
    mMergeDuplicatedResMappingFile = new File(mOutDir.getAbsoluteFile().getAbsolutePath()
                             + File.separator
                             + TypedValue.MERGE_DUPLICATED_RES_MAPPING_FILE
                             + basename
                             + TypedValue.TXT_FILE);
  }","None"
"1895","Field","unZipDest","None","None"
"1896","Field","basename","None","None"
"1897","Method","dealWithCompressConfig","private void dealWithCompressConfig() {
    if (config.mUseCompress) {
      HashSet<Pattern> patterns = config.mCompressPatterns;
      if (!patterns.isEmpty()) {
        for (Entry<String, Integer> entry : mCompressData.entrySet()) {
          String name = entry.getKey();
          for (Iterator<Pattern> it = patterns.iterator(); it.hasNext(); ) {
            Pattern p = it.next();
            if (p.matcher(name).matches()) {
              mCompressData.put(name, TypedValue.ZIP_DEFLATED);
            }
          }
        }
      }
    }
  }","config"
"1898","Field","patterns","None","None"
"1899","Field","name","None","None"
"1900","Field","p","None","None"
"1901","Method","getCompressData","public HashMap<String, Integer> getCompressData() {
    return mCompressData;
  }","None"
"1902","Method","getOutDir","public File getOutDir() {
    return mOutDir;
  }","None"
"1903","Method","setOutDir","public void setOutDir(File outDir) throws AndrolibException {
    mOutDir = outDir;
  }","None"
"1904","Field","outDir","None","None"
"1905","Method","getOutResFile","public File getOutResFile() {
    return mOutResFile;
  }","None"
"1906","Method","getRawResFile","public File getRawResFile() {
    return mRawResFile;
  }","None"
"1907","Method","getOutTempARSCFile","public File getOutTempARSCFile() {
    return mOutTempARSCFile;
  }","None"
"1908","Method","getOutARSCFile","public File getOutARSCFile() {
    return mOutARSCFile;
  }","None"
"1909","Method","getOutTempDir","public File getOutTempDir() {
    return mOutTempDir;
  }","None"
"1910","Method","getResMappingFile","public File getResMappingFile() {
    return mResMappingFile;
  }","None"
"1911","Method","getMergeDuplicatedResMappingFile","public File getMergeDuplicatedResMappingFile() {
    return mMergeDuplicatedResMappingFile;
  }","None"
"1912","Method","decode","public void decode() throws AndrolibException, IOException, DirectoryException {
    if (hasResources()) {
      ensureFilePath();
      // read the resources.arsc checking for STORED vs DEFLATE compression
      // this will determine whether we compress on rebuild or not.
      System.out.printf(""decoding resources.arsc\n"");
      RawARSCDecoder.decode(apkFile.getDirectory().getFileInput(""resources.arsc""));
      ResPackage[] pkgs = ARSCDecoder.decode(apkFile.getDirectory().getFileInput(""resources.arsc""), this);

      //把没有纪录在resources.arsc的资源文件也拷进dest目录
      copyOtherResFiles();

      ARSCDecoder.write(apkFile.getDirectory().getFileInput(""resources.arsc""), this, pkgs);
    }
  }","None"
"1913","Field","pkgs","None","None"
"1914","Class","ResourceFilesVisitor","ResourceFilesVisitor","None"
"1915","Field","file","None","None"
"1916","Field","attrs","None","None"
"1917","Method","visitFile","public FileVisitResult visitFile(Path file, BasicFileAttributes attrs) throws IOException {
      mRawResourceFiles.add(file);
      return FileVisitResult.CONTINUE;
    }","None"
"1918","Field","file","None","None"
"1919","Field","attrs","None","None"
"1920","Class","ResourceRepackage","ResourceRepackage","None"
"1921","Field","zipalignPath","None","None"
"1922","Field","sevenZipPath","None","None"
"1923","Field","mSignedApk","None","None"
"1924","Field","mSignedWith7ZipApk","None","None"
"1925","Field","mAlignedWith7ZipApk","None","None"
"1926","Field","m7zipOutPutDir","None","None"
"1927","Field","mStoredOutPutDir","None","None"
"1928","Field","mApkName","None","None"
"1929","Field","mOutDir","None","None"
"1930","Field","zipalignPath","None","None"
"1931","Field","zipPath","None","None"
"1932","Field","signedFile","None","None"
"1933","Field","outDir","None","None"
"1934","Field","apkBasename","None","None"
"1935","Field","compressData","None","None"
"1936","Field","storedFiles","None","None"
"1937","Field","file","None","None"
"1938","Field","method","None","None"
"1939","Field","outPath","None","None"
"1940","Field","path","None","None"
"1941","Field","cmd","None","None"
"1942","Field","pb","None","None"
"1943","Field","pro","None","None"
"1944","Field","ir","None","None"
"1945","Field","input","None","None"
"1946","Field","storedFiles","None","None"
"1947","Field","storedParentName","None","None"
"1948","Field","outputName","None","None"
"1949","Field","cmd","None","None"
"1950","Field","pb","None","None"
"1951","Field","pro","None","None"
"1952","Field","ir","None","None"
"1953","Field","input","None","None"
"1954","Field","before","None","None"
"1955","Field","after","None","None"
"1956","Field","cmd","None","None"
"1957","Field","pb","None","None"
"1958","Field","pro","None","None"
"1959","Method","setOutDir","public void setOutDir(File outDir) {
    mOutDir = outDir;
  }","None"
"1960","Field","outDir","None","None"
"1961","Method","repackageApk","public void repackageApk() throws IOException, InterruptedException {
    insureFileName();

    repackageWith7z();
    alignApk();
    deleteUnusedFiles();
  }","None"
"1962","Method","deleteUnusedFiles","private void deleteUnusedFiles() {
    //删除目录
    FileOperation.deleteDir(m7zipOutPutDir);
    FileOperation.deleteDir(mStoredOutPutDir);
    if (mSignedWith7ZipApk.exists()) {
      mSignedWith7ZipApk.delete();
    }
  }","None"
"1963","Method","insureFileName","private void insureFileName() throws IOException {
    if (!mSignedApk.exists()) {
      throw new IOException(String.format(""can not found the signed apk file to repackage"" + "", path=%s"",
          mSignedApk.getAbsolutePath()
      ));
    }
    //需要自己安装7zip
    String apkBasename = mSignedApk.getName();
    mApkName = apkBasename.substring(0, apkBasename.indexOf("".apk""));
    //如果外面设过，就不用设了
    if (mOutDir == null) {
      mOutDir = new File(mSignedApk.getAbsoluteFile().getParent(), mApkName);
    }

    mSignedWith7ZipApk = new File(mOutDir.getAbsolutePath(), mApkName + ""_channel_7zip.apk"");
    mAlignedWith7ZipApk = new File(mOutDir.getAbsolutePath(), mApkName + ""_channel_7zip_aligned.apk"");

    m7zipOutPutDir = new File(mOutDir.getAbsolutePath(), TypedValue.OUT_7ZIP_FILE_PATH);
    mStoredOutPutDir = new File(mOutDir.getAbsolutePath(), ""storefiles"");
    //删除目录,因为之前的方法是把整个输出目录都删除，所以不会有问题，现在不会，所以要单独删
    FileOperation.deleteDir(m7zipOutPutDir);
    FileOperation.deleteDir(mStoredOutPutDir);
    FileOperation.deleteDir(mSignedWith7ZipApk);
    FileOperation.deleteDir(mAlignedWith7ZipApk);
  }","，"
"1964","Field","apkBasename","None","None"
"1965","Method","repackageWith7z","private void repackageWith7z() throws IOException, InterruptedException {
    System.out.printf(""use 7zip to repackage: %s, will cost much more time\n"", mSignedWith7ZipApk.getName());
    HashMap<String, Integer> compressData = FileOperation.unZipAPk(mSignedApk.getAbsolutePath(),
        m7zipOutPutDir.getAbsolutePath()
    );
    //首先一次性生成一个全部都是压缩的安装包
    generalRaw7zip();
    ArrayList<String> storedFiles = new ArrayList<>();
    //对于不压缩的要update回去
    for (String name : compressData.keySet()) {
      File file = new File(m7zipOutPutDir.getAbsolutePath(), name);
      if (!file.exists()) {
        continue;
      }
      int method = compressData.get(name);
      if (method == TypedValue.ZIP_STORED) {
        storedFiles.add(name);
      }
    }

    addStoredFileIn7Zip(storedFiles);
    if (!mSignedWith7ZipApk.exists()) {
      throw new IOException(String.format(
          ""[repackageWith7z]7z repackage signed apk fail,you must install 7z command line version first, linux: p7zip, window: 7za, path=%s"",
          mSignedWith7ZipApk.getAbsolutePath()
      ));
    }
  }","None"
"1966","Field","compressData","None","None"
"1967","Field","storedFiles","None","None"
"1968","Field","file","None","None"
"1969","Field","method","None","None"
"1970","Method","generalRaw7zip","private void generalRaw7zip() throws IOException, InterruptedException {
    System.out.printf(""general the raw 7zip file\n"");
    String outPath = m7zipOutPutDir.getAbsoluteFile().getAbsolutePath();
    String path = outPath + File.separator + ""*"";

    String cmd = Utils.isPresent(sevenZipPath) ? sevenZipPath : TypedValue.COMMAND_7ZIP;
    ProcessBuilder pb = new ProcessBuilder(cmd, ""a"", ""-tzip"", mSignedWith7ZipApk.getAbsolutePath(), path, ""-mx9"");
    Process pro = pb.start();

    InputStreamReader ir = new InputStreamReader(pro.getInputStream());
    LineNumberReader input = new LineNumberReader(ir);
    //如果不读会有问题，被阻塞
    while (input.readLine() != null) {
    }
    //destroy the stream
    pro.waitFor();
    pro.destroy();
  }","None"
"1971","Field","outPath","None","None"
"1972","Field","path","None","None"
"1973","Field","cmd","None","None"
"1974","Field","pb","None","None"
"1975","Field","pro","None","None"
"1976","Field","ir","None","None"
"1977","Field","input","None","None"
"1978","Method","addStoredFileIn7Zip","private void addStoredFileIn7Zip(ArrayList<String> storedFiles) throws IOException, InterruptedException {
    System.out.printf(""[addStoredFileIn7Zip]rewrite the stored file into the 7zip, file count:%d\n"",
        storedFiles.size()
    );
    String storedParentName = mStoredOutPutDir.getAbsolutePath() + File.separator;
    String outputName = m7zipOutPutDir.getAbsolutePath() + File.separator;
    for (String name : storedFiles) {
      FileOperation.copyFileUsingStream(new File(outputName + name), new File(storedParentName + name));
    }
    storedParentName = storedParentName + File.separator + ""*"";
    //极限压缩
    String cmd = Utils.isPresent(sevenZipPath) ? sevenZipPath : TypedValue.COMMAND_7ZIP;
    ProcessBuilder pb = new ProcessBuilder(cmd,
        ""a"",
        ""-tzip"",
        mSignedWith7ZipApk.getAbsolutePath(),
        storedParentName,
        ""-mx0""
    );
    Process pro = pb.start();

    InputStreamReader ir = new InputStreamReader(pro.getInputStream());
    LineNumberReader input = new LineNumberReader(ir);
    //如果不读会有问题，被阻塞
    while (input.readLine() != null) {
    }
    //destroy the stream
    pro.waitFor();
    pro.destroy();
  }","None"
"1979","Field","storedFiles","None","None"
"1980","Field","storedParentName","None","None"
"1981","Field","outputName","None","None"
"1982","Field","cmd","None","None"
"1983","Field","pb","None","None"
"1984","Field","pro","None","None"
"1985","Field","ir","None","None"
"1986","Field","input","None","None"
"1987","Method","alignApk","private void alignApk() throws IOException, InterruptedException {
    if (mSignedWith7ZipApk.exists()) {
      alignApk(mSignedWith7ZipApk, mAlignedWith7ZipApk);
    }
  }","None"
"1988","Method","alignApk","private void alignApk(File before, File after) throws IOException, InterruptedException {
    System.out.printf(""zipaligning apk: %s\n"", before.getName());
    if (!before.exists()) {
      throw new IOException(String.format(""can not found the raw apk file to zipalign, path=%s"",
          before.getAbsolutePath()
      ));
    }
    String cmd = Utils.isPresent(zipalignPath) ? zipalignPath : TypedValue.COMMAND_ZIPALIGIN;
    ProcessBuilder pb = new ProcessBuilder(cmd, ""4"", before.getAbsolutePath(), after.getAbsolutePath());
    Process pro = pb.start();
    //destroy the stream
    pro.waitFor();
    pro.destroy();
  }","None"
"1989","Field","before","None","None"
"1990","Field","after","None","None"
"1991","Field","cmd","None","None"
"1992","Field","pb","None","None"
"1993","Field","pro","None","None"
"1994","Class","AndrolibException","AndrolibException","None"
"1995","Field","message","None","None"
"1996","Field","message","None","None"
"1997","Field","cause","None","None"
"1998","Field","cause","None","None"
"1999","Class","ResourceApkBuilder","ResourceApkBuilder","None"
"2000","Field","config","None","None"
"2001","Field","mOutDir","None","None"
"2002","Field","m7zipOutPutDir","None","None"
"2003","Field","mUnSignedApk","None","None"
"2004","Field","mSignedApk","None","None"
"2005","Field","mSignedWith7ZipApk","None","None"
"2006","Field","m7ZipApk","None","None"
"2007","Field","mAlignedApk","None","None"
"2008","Field","mAlignedWith7ZipApk","None","None"
"2009","Field","mApkName","None","None"
"2010","Field","finalApkFile","None","None"
"2011","Field","config","None","None"
"2012","Field","outDir","None","None"
"2013","Field","apkName","None","None"
"2014","Field","finalApkFile","None","None"
"2015","Field","compressData","None","None"
"2016","Field","compressData","None","None"
"2017","Field","minSDKVersion","None","None"
"2018","Field","signatureType","None","None"
"2019","Field","compressData","None","None"
"2020","Field","originalAPK","None","None"
"2021","Field","outputAPK","None","None"
"2022","Field","storedFiles","None","None"
"2023","Field","file","None","None"
"2024","Field","method","None","None"
"2025","Field","hash","None","None"
"2026","Field","signatureAlgorithm","None","None"
"2027","Field","keyStore","None","None"
"2028","Field","fileIn","None","None"
"2029","Field","key","None","None"
"2030","Field","keyAlgorithm","None","None"
"2031","Field","hash","None","None"
"2032","Field","unSignedApk","None","None"
"2033","Field","signedApk","None","None"
"2034","Field","unSignedApk","None","None"
"2035","Field","signedApk","None","None"
"2036","Field","minSDKVersion","None","None"
"2037","Field","signatureType","None","None"
"2038","Field","unSignedApk","None","None"
"2039","Field","signedApk","None","None"
"2040","Field","minSDKVersion","None","None"
"2041","Field","signatureType","None","None"
"2042","Field","params","None","None"
"2043","Field","unSignedApk","None","None"
"2044","Field","signedApk","None","None"
"2045","Field","signatureAlgorithm","None","None"
"2046","Field","argv","None","None"
"2047","Field","before","None","None"
"2048","Field","after","None","None"
"2049","Field","cmd","None","None"
"2050","Field","compressData","None","None"
"2051","Field","tempOutDir","None","None"
"2052","Field","unzipFiles","None","None"
"2053","Field","collectFiles","None","None"
"2054","Field","name","None","None"
"2055","Field","destResDir","None","None"
"2056","Field","rawResDir","None","None"
"2057","Field","rawARSCFile","None","None"
"2058","Field","collectFiles","None","None"
"2059","Field","metaFolder","None","None"
"2060","Field","metaFiles","None","None"
"2061","Field","metaFileName","None","None"
"2062","Field","storedFiles","None","None"
"2063","Field","outSevenZipAPK","None","None"
"2064","Field","storedParentName","None","None"
"2065","Field","outputName","None","None"
"2066","Field","cmd","None","None"
"2067","Field","outSevenZipApk","None","None"
"2068","Field","outPath","None","None"
"2069","Field","path","None","None"
"2070","Field","cmd","None","None"
"2071","Method","setOutDir","public void setOutDir(File outDir, String apkName, File finalApkFile) throws AndrolibException {
    this.mOutDir = outDir;
    this.mApkName = apkName;
    this.finalApkFile = finalApkFile;
  }","None"
"2072","Field","outDir","None","None"
"2073","Field","apkName","None","None"
"2074","Field","finalApkFile","None","None"
"2075","Method","buildApkWithV1sign","public void buildApkWithV1sign(HashMap<String, Integer> compressData) throws IOException, InterruptedException {
    insureFileNameV1();
    generalUnsignApk(compressData);
    signApkV1(mUnSignedApk, mSignedApk);
    use7zApk(compressData, mSignedApk, mSignedWith7ZipApk);
    alignApks();
    copyFinalApkV1();
  }","None"
"2076","Field","compressData","None","None"
"2077","Method","copyFinalApkV1","private void copyFinalApkV1() throws IOException {
    if (finalApkFile != null) {
      System.out.println(String.format(""Backup Final APk(V1) to %s"", finalApkFile));
      if (mSignedWith7ZipApk.exists()) {
        FileOperation.copyFileUsingStream(mAlignedWith7ZipApk, finalApkFile);
      } else if (mSignedApk.exists()) {
        FileOperation.copyFileUsingStream(mAlignedApk, finalApkFile);
      }
    }
  }","None"
"2078","Method","buildApkWithV2V3Sign","public void buildApkWithV2V3Sign(HashMap<String, Integer> compressData, int minSDKVersion, InputParam.SignatureType signatureType) throws Exception {
    insureFileNameV2();
    generalUnsignApk(compressData);
    if (use7zApk(compressData, mUnSignedApk, m7ZipApk)) {
      alignApk(m7ZipApk, mAlignedApk);
    } else {
      alignApk(mUnSignedApk, mAlignedApk);
    }

    /*
     * Caution: If you sign your app using APK Signature Scheme v2 and make further changes to the app,
     * the app's signature is invalidated.
     * For this reason, use tools such as zipalign before signing your app using APK Signature Scheme v2, not after.
     **/
    signApkV2V3(mAlignedApk, mSignedApk, minSDKVersion, signatureType);
    copyFinalApkV2();
  }","None"
"2079","Field","compressData","None","None"
"2080","Field","minSDKVersion","None","None"
"2081","Field","signatureType","None","None"
"2082","Method","copyFinalApkV2","private void copyFinalApkV2() throws IOException {
    if (mSignedApk.exists() && finalApkFile != null) {
      System.out.println(String.format(""Backup Final APk(V2) to %s"", finalApkFile));
      FileOperation.copyFileUsingStream(mSignedApk, finalApkFile);
    }
  }","None"
"2083","Method","insureFileNameV1","private void insureFileNameV1() {
    mUnSignedApk = new File(mOutDir.getAbsolutePath(), mApkName + ""_unsigned.apk"");
    mSignedWith7ZipApk = new File(mOutDir.getAbsolutePath(), mApkName + ""_signed_7zip.apk"");
    mSignedApk = new File(mOutDir.getAbsolutePath(), mApkName + ""_signed.apk"");
    mAlignedApk = new File(mOutDir.getAbsolutePath(), mApkName + ""_signed_aligned.apk"");
    mAlignedWith7ZipApk = new File(mOutDir.getAbsolutePath(), mApkName + ""_signed_7zip_aligned.apk"");
    m7zipOutPutDir = new File(mOutDir.getAbsolutePath(), TypedValue.OUT_7ZIP_FILE_PATH);
  }","None"
"2084","Method","insureFileNameV2","private void insureFileNameV2() {
    mUnSignedApk = new File(mOutDir.getAbsolutePath(), mApkName + ""_unsigned.apk"");
    m7ZipApk = new File(mOutDir.getAbsolutePath(), mApkName + ""_7zip_unsigned.apk"");
    if (config.mUse7zip) {
      mAlignedApk = new File(mOutDir.getAbsolutePath(), mApkName + ""_7zip_aligned_unsigned.apk"");
      mSignedApk = new File(mOutDir.getAbsolutePath(), mApkName + ""_7zip_aligned_signed.apk"");
    } else {
      mAlignedApk = new File(mOutDir.getAbsolutePath(), mApkName + ""_aligned_unsigned.apk"");
      mSignedApk = new File(mOutDir.getAbsolutePath(), mApkName + ""_aligned_signed.apk"");
    }
    m7zipOutPutDir = new File(mOutDir.getAbsolutePath(), TypedValue.OUT_7ZIP_FILE_PATH);
  }","None"
"2085","Method","use7zApk","private boolean use7zApk(HashMap<String, Integer> compressData, File originalAPK, File outputAPK)
      throws IOException, InterruptedException {
    if (!config.mUse7zip) {
      return false;
    }
    if (!config.mUseSignAPK) {
      throw new IOException(""if you want to use 7z, you must enable useSign in the config file first"");
    }
    if (!originalAPK.exists()) {
      throw new IOException(String.format(""can not found the signed apk file to 7z, if you want to use 7z, ""
                                          + ""you must fill the sign data in the config file path=%s"",
          originalAPK.getAbsolutePath()
      ));
    }
    System.out.printf(""use 7zip to repackage: %s, will cost much more time\n"", outputAPK.getName());
    FileOperation.unZipAPk(originalAPK.getAbsolutePath(), m7zipOutPutDir.getAbsolutePath());
    //首先一次性生成一个全部都是压缩的安装包
    generalRaw7zip(outputAPK);

    ArrayList<String> storedFiles = new ArrayList<>();
    //对于不压缩的要update回去
    for (String name : compressData.keySet()) {
      File file = new File(m7zipOutPutDir.getAbsolutePath(), name);
      if (!file.exists()) {
        continue;
      }
      int method = compressData.get(name);
      if (method == TypedValue.ZIP_STORED) {
        storedFiles.add(name);
      }
    }

    addStoredFileIn7Zip(storedFiles, outputAPK);
    if (!outputAPK.exists()) {
      throw new IOException(String.format(
          ""[use7zApk]7z repackage signed apk fail,you must install 7z command line version first, linux: p7zip, window: 7za, path=%s"",
          mSignedWith7ZipApk.getAbsolutePath()
      ));
    }
    return true;
  }","None"
"2086","Field","compressData","None","None"
"2087","Field","originalAPK","None","None"
"2088","Field","outputAPK","None","None"
"2089","Field","storedFiles","None","None"
"2090","Field","file","None","None"
"2091","Field","method","None","None"
"2092","Method","getSignatureAlgorithm","private String getSignatureAlgorithm(String hash) throws Exception {
    String signatureAlgorithm;
    KeyStore keyStore = KeyStore.getInstance(KeyStore.getDefaultType());
    FileInputStream fileIn = new FileInputStream(config.mSignatureFile);
    keyStore.load(fileIn, config.mStorePass.toCharArray());
    Key key = keyStore.getKey(config.mStoreAlias, config.mKeyPass.toCharArray());
    if (key == null) {
      throw new RuntimeException(""Can't get private key, please check if storepass storealias and keypass are correct"");
    }
    String keyAlgorithm = key.getAlgorithm();
    hash = formatHashAlgorithName(hash);
    if (keyAlgorithm.equalsIgnoreCase(""DSA"")) {
      keyAlgorithm = ""DSA"";
    } else if (keyAlgorithm.equalsIgnoreCase(""RSA"")) {
      keyAlgorithm = ""RSA"";
    } else if (keyAlgorithm.equalsIgnoreCase(""EC"")) {
      keyAlgorithm = ""ECDSA"";
    } else {
      throw new RuntimeException(""private key is not a DSA or RSA key"");
    }
    signatureAlgorithm = String.format(""%swith%s"", hash, keyAlgorithm);
    return signatureAlgorithm;
  }","None"
"2093","Field","hash","None","None"
"2094","Field","signatureAlgorithm","None","None"
"2095","Field","keyStore","None","None"
"2096","Field","fileIn","None","None"
"2097","Field","key","None","None"
"2098","Field","keyAlgorithm","None","None"
"2099","Method","formatHashAlgorithName","private String formatHashAlgorithName(String hash) {
    return hash.replace(""-"", """");
  }","None"
"2100","Field","hash","None","None"
"2101","Method","signApkV1","private void signApkV1(File unSignedApk, File signedApk) throws IOException, InterruptedException {
    if (config.mUseSignAPK) {
      System.out.printf(""signing apk: %s\n"", signedApk.getName());
      if (signedApk.exists()) {
        signedApk.delete();
      }
      signWithV1sign(unSignedApk, signedApk);
      if (!signedApk.exists()) {
        throw new IOException(""Can't Generate signed APK. Plz check your v1sign info is correct."");
      }
    }
  }","None"
"2102","Field","unSignedApk","None","None"
"2103","Field","signedApk","None","None"
"2104","Method","signApkV2V3","private void signApkV2V3(File unSignedApk, File signedApk, int minSDKVersion, InputParam.SignatureType signatureType) throws Exception {
    if (config.mUseSignAPK) {
      System.out.printf(""signing apk: %s\n"", signedApk.getName());
      signWithV2V3Sign(unSignedApk, signedApk, minSDKVersion, signatureType);
      if (!signedApk.exists()) {
        throw new IOException(""Can't Generate signed APK v2. Plz check your v2sign info is correct."");
      }
    }
  }","None"
"2105","Field","unSignedApk","None","None"
"2106","Field","signedApk","None","None"
"2107","Field","minSDKVersion","None","None"
"2108","Field","signatureType","None","None"
"2109","Method","signWithV2V3Sign","private void signWithV2V3Sign(File unSignedApk, File signedApk, int minSDKVersion, InputParam.SignatureType signatureType) throws Exception {
    String[] params = new String[] {
        ""sign"",
        ""--ks"",
        config.mSignatureFile.getAbsolutePath(),
        ""--ks-pass"",
        ""pass:"" + config.mStorePass,
        ""--min-sdk-version"",
        String.valueOf(minSDKVersion),
        ""--ks-key-alias"",
        config.mStoreAlias,
        ""--key-pass"",
        ""pass:"" + config.mKeyPass,
        ""--v3-signing-enabled"",
        String.valueOf(signatureType == SchemaV3),
        ""--out"",
        signedApk.getAbsolutePath(),
        unSignedApk.getAbsolutePath()
    };
    ApkSignerTool.main(params);
  }","None"
"2110","Field","unSignedApk","None","None"
"2111","Field","signedApk","None","None"
"2112","Field","minSDKVersion","None","None"
"2113","Field","signatureType","None","None"
"2114","Field","params","None","None"
"2115","Method","signWithV1sign","private void signWithV1sign(File unSignedApk, File signedApk) throws IOException, InterruptedException {
    String signatureAlgorithm = ""MD5withRSA"";
    try {
      signatureAlgorithm = getSignatureAlgorithm(config.digestAlg);
    } catch (Exception e) {
      e.printStackTrace();
    }
    String[] argv = {
        ""jarsigner"",
        ""-sigalg"",
        signatureAlgorithm,
        ""-digestalg"",
        config.digestAlg,
        ""-keystore"",
        config.mSignatureFile.getAbsolutePath(),
        ""-storepass"",
        config.mStorePass,
        ""-keypass"",
        config.mKeyPass,
        ""-signedjar"",
        signedApk.getAbsolutePath(),
        unSignedApk.getAbsolutePath(),
        config.mStoreAlias
    };
    Utils.runExec(argv);
  }","None"
"2116","Field","unSignedApk","None","None"
"2117","Field","signedApk","None","None"
"2118","Field","signatureAlgorithm","None","None"
"2119","Field","argv","None","None"
